FID,Station_name,CITY,STATE
5402,FITZWILLIAM POLICE DEPARTMENT,FITZWILLIAM,NH
5403,DAWSON COUNTY SHERIFFS OFFICE  ,GLENDIVE,MT
5404,SOUTHERN UTAH UNIVERSITY OFFICE OF PUBLIC SAFETY,CEDAR CITY,UT
5405,CASCADE COUNTY SHERIFFS OFFICE  ,GREAT FALLS,MT
5406,JOLIET POLICE DEPARTMENT,JOLIET,MT
5407,BIG HORN COUNTY SHERIFFS OFFICE  ,HARDIN,MT
5408,MADISON VILLAGE POLICE DEPARTMENT,MADISON,OH
5409,BYRNES MILL POLICE DEPARTMENT,HOUSE SPRINGS,MO
5410,MONTGOMERY CITY POLICE DEPARTMENT,MONTGOMERY CITY,MO
5411,IRONTON POLICE DEPARTMENT,IRONTON,OH
5412,ANDERSON POLICE DEPARTMENT,ANDERSON,MO
5413,LITTLE SILVER POLICE DEPARTMENT,LITTLE SILVER,NJ
5414,SUSSEX COUNTY SHERIFFS OFFICE,NEWTON,NJ
5415,BONNE TERRE POLICE DEPARTMENT,BONNE TERRE,MO
5416,BRANSON WEST POLICE DEPARTMENT,BRANSON WEST,MO
5417,WAVERLY POLICE DEPARTMENT,WAVERLY,MO
5418,TYRRELL COUNTY SHERIFFS DEPARTMENT,COLUMBIA,NC
5419,UNION CITY POLICE DEPARTMENT,UNION CITY,TN
5420,KING CITY POLICE DEPARTMENT,KING CITY,MO
5421,DESLOGE POLICE DEPARTMENT,DESLOGE,MO
5422,MERCER COUNTY SHERIFFS DEPARTMENT,STANTON,ND
5423,GRAIN VALLEY POLICE DEPARTMENT,GRAIN VALLEY,MO
5424,HAMPSHIRE COUNTY SHERIFFS DEPARTMENT,ROMNEY,WV
5425,MISSOULA COUNTY SHERIFFS OFFICE,MISSOULA,MT
5426,LOVELOCK POLICE DEPARTMENT,LOVELOCK,NV
5427,MERRIMACK COUNTY SHERIFFS DEPARTMENT,CONCORD,NH
5428,OBION POLICE DEPARTMENT,OBION,TN
5429,PERSON COUNTY SHERIFFS OFFICE  ,ROXBORO,NC
5430,ELLINGTON POLICE DEPARTMENT,ELLINGTON,MO
5431,MORRISVILLE POLICE DEPARTMENT,MORRISVILLE,NC
5432,AVON LAKE POLICE DEPARTMENT,AVON LAKE,OH
5433,CITY OF CORNELIUS POLICE DEPARTMENT,CORNELIUS,NC
5434,CLENDENIN POLICE DEPARTMENT,CLENDENIN,WV
5435,BARTLETT POLICE DEPARTMENT,INTERVALE,NH
5436,CARROLL COUNTY SHERIFFS DEPARTMENT,OSSIPEE,NH
5437,BENTON POLICE DEPARTMENT,BENTON,TN
5438,DEERING POLICE DEPARTMENT,DEERING,NH
5439,WHITEWATER POLICE DEPARTMENT,WHITEWATER,WI
5440,MOUNT EATON POLICE DEPARTMENT,MOUNT EATON,OH
5441,TOWN OF MENASHA POLICE DEPARTMENT,NEENAH,WI
5442,NEWTON CITY POLICE DEPARTMENT,NEWTON,NC
5443,BERKELEY TOWNSHIP POLICE DEPARTMENT,BAYVILLE,NJ
5444,MOUNT PLEASANT POLICE DEPARTMENT,MOUNT PLEASANT,UT
5445,NEWMARKET POLICE DEPARTMENT,NEWMARKET,NH
5446,LICKING COUNTY SHERIFFS OFFICE  ,NEWARK,OH
5447,ORLEANS COUNTY SHERIFF,NEWPORT CITY,VT
5448,PLAINFIELD POLICE DEPARTMENT,PLAINFIELD,NH
5449,HAMPSTEAD POLICE DEPARTMENT,HAMPSTEAD,NH
5450,GREENLAND POLICE DEPARTMENT,GREENLAND,NH
5451,SWANTON VILLAGE POLICE DEPARTMENT,SWANTON,VT
5452,CARTERVILLE POLICE DEPARTMENT,CARTERVILLE,MO
5453,CARL JUNCTION POLICE DEPARTMENT,CARL JUNCTION,MO
5454,MENASHA POLICE DEPARTMENT,MENASHA,WI
5455,HETTINGER COUNTY SHERIFFS DEPARTMENT,MOTT,ND
5456,SEQUATCHIE COUNTY SHERIFFS DEPARTMENT  ,DUNLAP,TN
5457,LAKE NEBAGAMON POLICE DEPARTMENT,LAKE NEBAGAMON,WI
5458,HANCOCK POLICE DEPARTMENT,HANCOCK,WI
5459,RICHLAND COUNTY SHERIFFS DEPARTMENT  ,RICHLAND CENTER,WI
5460,DREXEL POLICE DEPARTMENT,DREXEL,MO
5461,DEKALB COUNTY SHERIFF DEPARTMENT  ,SMITHVILLE,TN
5462,DELLWOOD POLICE DEPARTMENT,DELLWOOD,MO
5463,COITSVILLE TOWNSHIP POLICE DEPARTMENT,LOWELLVILLE,OH
5464,SOUTH BURLINGTON POLICE DEPARTMENT,SOUTH BURLINGTON,VT
5465,MACON POLICE DEPARTMENT,MACON,MO
5466,MOUNT STERLING POLICE DEPARTMENT,MOUNT STERLING,OH
5467,HUNTSVILLE POLICE DEPARTMENT,HUNTSVILLE,MO
5468,WATCHUNG POLICE DEPARTMENT,WATCHUNG,NJ
5469,NORTH CANTON POLICE DEPARTMENT,NORTH CANTON,OH
5470,SYRACUSE POLICE DEPARTMENT,SYRACUSE,UT
5471,CARROLL COUNTY SHERIFFS DEPARTMENT  ,CARROLLTON,OH
5472,LEE COUNTY SHERIFFS OFFICE,JONESVILLE,VA
5473,ARCANUM POLICE DEPARTMENT,ARCANUM,OH
5474,BEL-NOR POLICE DEPARTMENT,BEL NOR,MO
5475,CHARLACK POLICE DEPARTMENT,CHARLACK,MO
5476,RIVERVIEW POLICE DEPARTMENT,RIVERVIEW,MO
5477,KINLOCH POLICE DEPARTMENT,KINLOCH,MO
5478,MOLINE ACRES POLICE DEPARTMENT,MOLINE ACRES,MO
5479,FRONTENAC POLICE DEPARTMENT,FRONTENAC,MO
5480,ARLINGTON COUNTY SHERIFFS OFFICE,ARLINGTON,VA
5481,SHELBINA POLICE DEPARTMENT,SHELBINA,MO
5482,EAU CLAIRE COUNTY SHERIFFS OFFICE  ,EAU CLAIRE,WI
5483,FRAZEE POLICE DEPARTMENT,FRAZEE,MN
5484,LYME POLICE DEPARTMENT,LYME,NH
5485,CAMPBELL POLICE DEPARTMENT,LA CROSSE,WI
5486,PITTSBURG POLICE DEPARTMENT,PITTSBURG,NH
5487,PARMA POLICE DEPARTMENT,PARMA,OH
5488,TRENTON POLICE DIVISION,TRENTON,OH
5489,WAYNE COUNTY SHERIFFS OFFICE,LOA,UT
5490,NORTHAMPTON COUNTY SHERIFFS OFFICE,JACKSON,NC
5491,BAD RIVER POLICE DEPARTMENT,ODANAH,WI
5492,WAUSEON POLICE DEPARTMENT,WAUSEON,OH
5493,CLALLAM COUNTY SHERIFFS OFFICE,PORT ANGELES,WA
5494,WELLSVILLE POLICE DEPARTMENT,WELLSVILLE,OH
5495,NORTHWOOD POLICE DEPARTMENT,NORTHWOOD,OH
5496,GATES MILLS POLICE DEPARTMENT,GATES MILLS,OH
5497,WHATCOM COUNTY SHERIFFS OFFICE  ,BELLINGHAM,WA
5498,SOUTHAMPTON COUNTY SHERIFFS OFFICE  ,COURTLAND,VA
5499,CONWAY POLICE DEPARTMENT,CONWAY,MO
5500,BENTON COUNTY SHERIFFS DEPARTMENT  ,WARSAW,MO
5501,CHEYENNE POLICE DEPARTMENT,CHEYENNE,WY
5502,SOUTH AMBOY POLICE DEPARTMENT,SOUTH AMBOY,NJ
5503,SEVIERVILLE POLICE DEPARTMENT,SEVIERVILLE,TN
5504,BARTLETT POLICE DEPARTMENT,BARTLETT,TN
5505,SEVIER COUNTY SHERIFFS DEPARTMENT,SEVIERVILLE,TN
5506,OAK HILL POLICE DEPARTMENT,OAK HILL,WV
5507,GRAND ISLE COUNTY SHERIFFS DEPARTMENT,NORTH HERO,VT
5508,WASHINGTON COUNTY SHERIFFS OFFICE,MONTPELIER,VT
5509,MANSFIELD POLICE DEPARTMENT  ,MANSFIELD,OH
5510,BROWN COUNTY SHERIFFS DEPARTMENT  ,NEW ULM,MN
5511,MAYFIELD HEIGHTS POLICE DEPARTMENT,MAYFIELD HEIGHTS,OH
5512,WASHAKIE COUNTY SHERIFFS DEPARTMENT  ,WORLAND,WY
5513,SUGAR MOUNTAIN POLICE DEPARTMENT,SUGAR MOUNTAIN,NC
5514,HAZEL GREEN POLICE DEPARTMENT,HAZEL GREEN,WI
5515,VIROQUA POLICE DEPARTMENT,VIROQUA,WI
5516,LINCOLN COUNTY SHERIFFS OFFICE  ,KEMMERER,WY
5517,WILLIAMSTOWN POLICE DEPARTMENT,WILLIAMSTOWN,WV
