FID,Station_name,CITY,STATE
9343,CITY OF LORAIN POLICE DEPARTMENT,LORAIN,OH
9344,MARSHVILLE POLICE DEPARTMENT,MARSHVILLE,NC
9345,AVON POLICE DEPARTMENT,AVON,OH
9346,TWINSBURG POLICE DEPARTMENT,TWINSBURG,OH
9347,ASH GROVE POLICE DEPARTMENT,ASH GROVE,MO
9348,BATTLEFIELD POLICE DEPARTMENT,BATTLEFIELD,MO
9349,ELEANOR POLICE DEPARTMENT,ELEANOR,WV
9350,CITY OF WHISPERING PINES POLICE DEPARTMENT,WHISPERING PINES,NC
9351,CITY OF MATTHEWS POLICE DEPARTMENT,MATTHEWS,NC
9352,FREEDOM POLICE DEPARTMENT,FREEDOM,NH
9353,HORNBEAK POLICE DEPARTMENT,HORNBEAK,TN
9354,PLATTSBURG POLICE DEPARTMENT,PLATTSBURG,MO
9355,BURGAW POLICE DEPARTMENT,BURGAW,NC
9356,TOWN OF BLOOMFIELD POLICE DEPARTMENT,PELL LAKE,WI
9357,HARDEMAN COUNTY SHERIFFS DEPARTMENT  ,BOLIVAR,TN
9358,CAPE GIRARDEAU POLICE DEPARTMENT,CAPE GIRARDEAU,MO
9359,FULTON POLICE DEPARTMENT,FULTON,MO
9360,WASHINGTON POLICE DEPARTMENT,WASHINGTON,MO
9361,MOORE COUNTY SHERIFFS DEPARTMENT  ,LYNCHBURG,TN
9362,CITY OF VALDESE POLICE DEPARTMENT,VALDESE,NC
9363,GREENFIELD POLICE DEPARTMENT,GREENFIELD,NH
9364,BON HOMME COUNTY SHERIFFS OFFICE  ,TYNDALL,SD
9365,YADKINVILLE POLICE DEPARTMENT,YADKINVILLE,NC
9366,WOODSTOWN POLICE DEPARTMENT,WOODSTOWN,NJ
9367,WICKLIFFE POLICE DEPARTMENT,WICKLIFFE,OH
9368,KNOX COUNTY SHERIFFS DEPARTMENT,EDINA,MO
9369,EVERSON POLICE DEPARTMENT,EVERSON,WA
9370,CITY OF PINETOPS POLICE DEPARTMENT,PINETOPS,NC
9371,BOW POLICE DEPARTMENT,BOW,NH
9372,CITY OF CHINA GROVE POLICE DEPARTMENT,CHINA GROVE,NC
9373,MINT HILL POLICE DEPARTMENT,MINT HILL,NC
9374,SAINT JOHNSBURY POLICE DEPARTMENT,SAINT JOHNSBURY,VT
9375,HARDWICK POLICE DEPARTMENT,HARDWICK,VT
9376,LOUDON POLICE DEPARTMENT,LOUDON,NH
9377,HARTFORD POLICE DEPARTMENT,WHITE RIVER JUNCTION,VT
9378,ATKINSON POLICE DEPARTMENT,ATKINSON,NH
9379,SOUTH POINT POLICE DEPARTMENT,SOUTH POINT,OH
9380,WAUPUN POLICE DEPARTMENT,WAUPUN,WI
9381,LOWER ALLOWAYS CREEK POLICE DEPARTMENT,HANCOCKS BRIDGE,NJ
9382,LOMIRA POLICE DEPARTMENT,LOMIRA,WI
9383,RANDOLPH POLICE DEPARTMENT,RANDOLPH,WI
9384,POYNETTE POLICE DEPARTMENT,POYNETTE,WI
9385,HARRIMAN POLICE DEPARTMENT,HARRIMAN,TN
9386,TROUSDALE COUNTY SHERIFFS DEPARTMENT  ,HARTSVILLE,TN
9387,THORP POLICE DEPARTMENT,THORP,WI
9388,WILLARD POLICE DEPARTMENT,WILLARD,MO
9389,POLK COUNTY SHERIFFS DEPARTMENT  ,BENTON,TN
9390,STURTEVANT POLICE DEPARTMENT AND FIRE DEPARTMENT,STURTEVANT,WI
9391,HARRISONVILLE POLICE DEPARTMENT,HARRISONVILLE,MO
9392,HOUSTON COUNTY SHERIFFS DEPARTMENT  ,ERIN,TN
9393,CHESTER COUNTY SHERIFFS DEPARTMENT  ,HENDERSON,TN
9394,LOUDON COUNTY SHERIFFS DEPARTMENT  ,LENOIR CITY,TN
9395,LAUDERDALE COUNTY SHERIFFS DEPARTMENT  ,RIPLEY,TN
9396,SOUTH AMHERST POLICE DEPARTMENT,SOUTH AMHERST,OH
9397,MONROE COUNTY SHERIFFS DEPARTMENT  ,MADISONVILLE,TN
9398,DUCHESNE COUNTY SHERIFFS OFFICE  ,DUCHESNE,UT
9399,BRIDGEWATER TOWNSHIP POLICE DEPARTMENT,BRIDGEWATER,NJ
9400,CLAYTON POLICE DEPARTMENT,CLAYTON,MO
9401,SEVILLE POLICE DEPARTMENT,SEVILLE,OH
9402,JUAB COUNTY SHERIFFS OFFICE  ,NEPHI,UT
9403,LOUISIANA POLICE DEPARTMENT,LOUISIANA,MO
9404,MIDDLEPORT POLICE DEPARTMENT,MIDDLEPORT,OH
9405,ARNOLD POLICE DEPARTMENT,ARNOLD,MO
9406,WASHINGTON TOWNSHIP POLICE DEPARTMENT,WASHINGTON,NJ
9407,LEXINGTON POLICE DEPARTMENT,LEXINGTON,MO
9408,MORONI POLICE DEPARTMENT,MORONI,UT
9409,HILLSBORO POLICE DEPARTMENT,HILLSBORO,MO
9410,ABERDEEN POLICE DEPARTMENT,ABERDEEN,NJ
9411,MIDDLE TENNESSEE STATE UNIVERSITY PUBLIC SAFETY,MURFREESBORO,TN
9412,ESSEX COUNTY SHERIFFS OFFICE,TAPPAHANNOCK,VA
9413,CANAAN POLICE DEPARTMENT,CANAAN,NH
9414,ALLEGHANY COUNTY SHERIFFS OFFICE  ,COVINGTON,VA
9415,BELLEFONTAINE NEIGHBORS POLICE DEPARTMENT,BELLEFONTAINE NEIGHBORS,MO
9416,BERKELEY POLICE DEPARTMENT,BERKELEY,MO
9417,MILAN POLICE DEPARTMENT,MILAN,MO
9418,RIVERSIDE POLICE DEPARTMENT,RIVERSIDE,MO
9419,LANCASTER COUNTY SHERIFFS OFFICE  ,LANCASTER,VA
9420,SHREWSBURY POLICE DEPARTMENT,SHREWSBURY,MO
9421,UNIVERSITY CITY POLICE DEPARTMENT,UNIVERSITY CITY,MO
9422,COUNTRY CLUB HILLS POLICE DEPARTMENT,COUNTRY CLUB HILLS,MO
9423,FERGUSON POLICE DEPARTMENT,FERGUSON,MO
9424,GLENDALE POLICE DEPARTMENT,GLENDALE,MO
9425,FREMONT POLICE DEPARTMENT,FREMONT,NC
9426,WOODSON TERRACE POLICE DEPARTMENT,WOODSON TERRACE,MO
9427,FORT BELKNAP POLICE DEPARTMENT,HARLEM,MT
9428,LAKE SAINT LOUIS POLICE DEPARTMENT,LAKE SAINT LOUIS,MO
9429,LUCAS COUNTY SHERIFFS OFFICE  ,TOLEDO,OH
9430,MADISON LAKE POLICE DEPARTMENT,MADISON LAKE,MN
9431,PRINCE EDWARD COUNTY SHERIFFS OFFICE,FARMVILLE,VA
9432,RUSSELL COUNTY SHERIFFS OFFICE,LEBANON,VA
9433,GOOD THUNDER POLICE DEPARTMENT,GOOD THUNDER,MN
9434,MILAN POLICE DEPARTMENT,MILAN,OH
9435,BROOK PARK POLICE DEPARTMENT,BROOK PARK,OH
9436,MURFREESBORO POLICE DEPARTMENT,MURFREESBORO,TN
9437,BETHLEHEM POLICE DEPARTMENT,BETHLEHEM,NH
9438,ORRVILLE POLICE DEPARTMENT,ORRVILLE,OH
9439,GATLINBURG POLICE DEPARTMENT,GATLINBURG,TN
9440,ARCADIA POLICE DEPARTMENT,ARCADIA,WI
9441,MIDDLETOWN DIVISION OF POLICE  ,MIDDLETOWN,OH
9442,LOWELLVILLE POLICE DEPARTMENT,LOWELLVILLE,OH
9443,LAKE WAYNOKA SECURITY,SARDINIA,OH
9444,PEND OREILLE COUNTY SHERIFFS OFFICE  ,NEWPORT,WA
9445,CLEVELAND DIVISION OF POLICE  ,CLEVELAND,OH
9446,FRANKLIN COUNTY SHERIFFS OFFICE  ,PASCO,WA
9447,PERRYSBURG TOWNSHIP POLICE DEPARTMENT,PERRYSBURG,OH
9448,ROCKBRIDGE COUNTY SHERIFFS OFFICE  ,LEXINGTON,VA
9449,NEW HANOVER SHERIFFS OFFICE  ,CASTLE HAYNE,NC
9450,DANVILLE CITY SHERIFFS OFFICE  ,DANVILLE,VA
9451,FERRY COUNTY SHERIFF  ,REPUBLIC,WA
9452,APPOMATTOX COUNTY SHERIFFS OFFICE  ,APPOMATTOX,VA
9453,BEDFORD POLICE DEPARTMENT,BEDFORD,OH
9454,MADISON COUNTY SHERIFFS OFFICE,MADISON,VA
9455,NEWPORT NEWS CITY SHERIFFS OFFICE  ,NEWPORT NEWS,VA
9456,SHERWOOD POLICE DEPARTMENT,SHERWOOD,ND
9457,BROOKE COUNTY SHERIFFS OFFICE,WELLSBURG,WV
9458,ALLENTOWN BOROUGH POLICE DEPARTMENT,ALLENTOWN,NJ
9459,RANDOLPH COUNTY SHERIFFS OFFICE,ELKINS,WV
9460,POCAHONTAS COUNTY SHERIFFS OFFICE,MARLINTON,WV
9461,SADDLE BROOK POLICE DEPARTMENT,SADDLE BROOK,NJ
9462,COOPER COUNTY SHERIFFS DEPARTMENT  ,BOONVILLE,MO
9463,FRANKLIN CITY POLICE DEPARTMENT,FRANKLIN,VA
9464,SECAUCUS POLICE DEPARTMENT,SECAUCUS,NJ
9465,NORTH WILDWOOD POLICE DEPARTMENT,NORTH WILDWOOD,NJ
9466,TAYLOR COUNTY SHERIFFS DEPARTMENT  ,MEDFORD,WI
9467,NEWCASTLE POLICE DEPARTMENT,NEWCASTLE,WY
9468,VILLAGE OF LEXINGTON POLICE DEPARTMENT,LEXINGTON,OH
9469,BELLOWS FALLS POLICE DEPARTMENT,BELLOWS FALLS,VT
9470,CHASKA POLICE DEPARTMENT,CHASKA,MN
9471,GARYSBURG POLICE DEPARTMENT,GARYSBURG,NC
9472,BEAUFORT COUNTY SHERIFFS DEPARTMENT,WASHINGTON,NC
9473,GIBSONVILLE POLICE DEPARTMENT,GIBSONVILLE,NC
9474,KALAMA POLICE DEPARTMENT,KALAMA,WA
9475,EL DORADO SPRINGS POLICE DEPARTMENT,EL DORADO SPRINGS,MO
9476,STARK COUNTY SHERIFFS OFFICE  ,CANTON,OH
9477,MILLER POLICE DEPARTMENT,MILLER,MO
9478,FARMINGTON POLICE DEPARTMENT,FARMINGTON,MO
9479,CURRYVILLE POLICE DEPARTMENT,CURRYVILLE,MO
9480,BLANDING POLICE DEPARTMENT,BLANDING,UT
9481,WEST PLAINS POLICE DEPARTMENT,WEST PLAINS,MO
9482,BOONVILLE POLICE DEPARTMENT,BOONVILLE,NC
9483,HENDERSON COUNTY SHERIFFS DEPARTMENT,HENDERSONVILLE,NC
9484,UNIONVILLE POLICE DEPARTMENT,UNIONVILLE,MO
9485,LAKE MILLS POLICE DEPARTMENT,LAKE MILLS,WI
9486,CONVERSE COUNTY SHERIFFS OFFICE  ,DOUGLAS,WY
9487,MONROE COUNTY SHERIFFS OFFICE,UNION,WV
9488,WEBSTER POLICE DEPARTMENT,WEBSTER,SD
9489,TIFFIN POLICE DEPARTMENT,TIFFIN,OH
9490,BIG HORN COUNTY SHERIFFS OFFICE  ,BASIN,WY
9491,PUTNAM COUNTY SHERIFFS DEPARTMENT,WINFIELD,WV
9492,WAGRAM POLICE DEPARTMENT,WAGRAM,NC
9493,CAMDENTON POLICE DEPARTMENT,CAMDENTON,MO
9494,CITY OF HENDERSONVILLE POLICE DEPARTMENT,HENDERSONVILLE,NC
9495,WEST UNITY POLICE DEPARTMENT,WEST UNITY,OH
9496,WAYNESBORO POLICE DEPARTMENT,WAYNESBORO,TN
9497,VIRGINIA BEACH SHERIFFS OFFICE  ,VIRGINIA BEACH,VA
9498,KEYSER CITY POLICE DEPARTMENT,KEYSER,WV
9499,QUINCY POLICE DEPARTMENT,QUINCY,WA
9500,LUCK POLICE DEPARTMENT,LUCK,WI
9501,CITY OF BREVARD POLICE DEPARTMENT,BREVARD,NC
9502,GREENFIELD POLICE DEPARTMENT,GREENFIELD,TN
9503,BLOOMDALE POLICE DEPARTMENT,BLOOMDALE,OH
9504,MIAMI TOWNSHIP POLICE DEPARTMENT,MILFORD,OH
9505,BLANCHESTER POLICE DEPARTMENT,BLANCHESTER,OH
9506,MAXTON POLICE DEPARTMENT,MAXTON,NC
9507,BOONTON POLICE DEPARTMENT,BOONTON,NJ
9508,MILLINGTON POLICE DEPARTMENT,MILLINGTON,TN
9509,MONROE POLICE DEPARTMENT,MONROE,OH
9510,BUTLER COUNTY SHERIFFS OFFICE AND CORRECTIONAL COMPLEX,HAMILTON,OH
9511,EAST PRAIRIE POLICE DEPARTMENT,EAST PRAIRIE,MO
9512,HOLMDEL TOWNSHIP POLICE DEPARTMENT,HOLMDEL,NJ
9513,SACRED HEART POLICE DEPARTMENT,SACRED HEART,MN
9514,BUFFALO LAKE POLICE DEPARTMENT,BUFFALO LAKE,MN
9515,WELDON POLICE DEPARTMENT,WELDON,NC
9516,PARMA HEIGHTS POLICE DEPARTMENT,PARMA HEIGHTS,OH
9517,RUMSON POLICE DEPARTMENT,RUMSON,NJ
9518,AUSTINTOWN POLICE DEPARTMENT,AUSTINTOWN,OH
9519,JUNCTION CITY POLICE STATION,JUNCTION CITY,OH
9520,JEFFERSON TOWNSHIP POLICE DEPARTMENT,LAKE HOPATCONG,NJ
9521,CARBON COUNTY SHERIFFS OFFICE  ,PRICE,UT
9522,BREWSTER POLICE DEPARTMENT,BREWSTER,WA
9523,MONTGOMERY COUNTY SHERIFFS DEPARTMENT  ,TROY,NC
9524,BIG BEND POLICE DEPARTMENT,BIG BEND,WI
9525,KANE COUNTY SHERIFFS OFFICE  ,KANAB,UT
9526,MEXICO DEPARTMENT OF PUBLIC SAFETY,MEXICO,MO
9527,LONG BEACH POLICE DEPARTMENT,LONG BEACH,WA
9528,POTEAU POLICE DEPARTMENT,POTEAU,OK
9529,WEBER COUNTY SHERIFFS OFFICE  ,OGDEN,UT
9530,RICH COUNTY SHERIFFS OFFICE  ,RANDOLPH,UT
9531,WEBER CITY POLICE DEPARTMENT,WEBER CITY,VA
9532,ELLENSBURG POLICE DEPARTMENT,ELLENSBURG,WA
9533,NEPTUNE TOWNSHIP POLICE DEPARTMENT,NEPTUNE,NJ
9534,UTAH COUNTY SHERIFFS OFFICE  ,SPANISH FORK,UT
9535,PRINCETON TOWNSHIP POLICE DEPARTMENT,PRINCETON,NJ
9536,FOREST LAKE POLICE DEPARTMENT,FOREST LAKE,MN
9537,WATERVILLE VALLEY DEPARTMENT OF PUBLIC SAFETY,WATERVILLE VALLEY,NH
9538,MOUNT OLIVE TOWNSHIP POLICE DEPARTMENT,BUDD LAKE,NJ
9539,GARFIELD POLICE DEPARTMENT,GARFIELD,NJ
9540,EAST GRAND FORKS POLICE DEPARTMENT,EAST GRAND FORKS,MN
9541,KINGSPORT POLICE DEPARTMENT  ,KINGSPORT,TN
9542,ESSEX COUNTY SHERIFF,GUILDHALL,VT
9543,CITY OF LODI POLICE DEPARTMENT,LODI,WI
9544,LANGLADE COUNTY SHERIFFS DEPARTMENT  ,ANTIGO,WI
9545,WALSH COUNTY SHERIFFS DEPARTMENT  ,GRAFTON,ND
9546,CITY OF UNION POLICE DEPARTMENT,UNION,OH
9547,PANDORA POLICE DEPARTMENT,PANDORA,OH
9548,PINE BLUFFS POLICE DEPARTMENT,PINE BLUFFS,WY
9549,RICHLAND COUNTY SHERIFFS OFFICE,MANSFIELD,OH
9550,ALTUS PUBLIC SCHOOLS SECURITY,ALTUS,OK
9551,CUT BANK POLICE DEPARTMENT,CUT BANK,MT
9552,RAVENNA POLICE DEPARTMENT,RAVENNA,OH
9553,PECULIAR POLICE DEPARTMENT,PECULIAR,MO
9554,SCOTT COUNTY SHERIFFS OFFICE,GATE CITY,VA
9555,WINDSOR POLICE DEPARTMENT,WINDSOR,NC
9556,BRAXTON COUNTY SHERIFFS OFFICE,SUTTON,WV
9557,FORSYTH POLICE DEPARTMENT,FORSYTH,MO
9558,KIRKSVILLE POLICE DEPARTMENT,KIRKSVILLE,MO
9559,CARTER COUNTY SHERIFFS OFFICE,EKALAKA,MT
9560,ESCALANTE POLICE DEPARTMENT,ESCALANTE,UT
9561,BAKERSVILLE POLICE DEPARTMENT,BAKERSVILLE,NC
9562,KIDDER COUNTY SHERIFFS DEPARTMENT,STEELE,ND
9563,COLUMBIA COUNTY SHERIFF OFFICE,PORTAGE,WI
9564,NEW FRANKLIN POLICE DEPARTMENT,NEW FRANKLIN,MO
9565,PRICE POLICE DEPARTMENT,PRICE,UT
9566,ONSLOW COUNTY SHERIFFS OFFICE  ,JACKSONVILLE,NC
9567,LEADWOOD POLICE DEPARTMENT,LEADWOOD,MO
9568,EATON POLICE DEPARTMENT,EATON,OH
9569,BETHANY POLICE DEPARTMENT,BETHANY,MO
9570,CAVALIER COUNTY SHERIFFS DEPARTMENT,LANGDON,ND
9571,ORAN POLICE DEPARTMENT,ORAN,MO
9572,TOWN OF ALTA MARSHALS OFFICE,SANDY,UT
9573,WATERVILLE VILLAGE POLICE DEPARTMENT,WATERVILLE,OH
9574,MEIGS COUNTY SHERIFFS DEPARTMENT  ,POMEROY,OH
9575,PEVELY POLICE DEPARTMENT,PEVELY,MO
9576,MILLARD COUNTY SHERIFFS OFFICE  ,FILLMORE,UT
9577,HOQUIAM POLICE DEPARTMENT,HOQUIAM,WA
9578,GILBERT POLICE DEPARTMENT,GILBERT,WV
9579,CITY OF PUXICO POLICE DEPARTMENT,PUXICO,MO
9580,MONTESANO POLICE DEPARTMENT,MONTESANO,WA
9581,LEWISBURG POLICE DEPARTMENT,LEWISBURG,OH
9582,BRUNSWICK HILLS TOWNSHIP POLICE DEPARTMENT,BRUNSWICK,OH
9583,DIXON POLICE DEPARTMENT,DIXON,MO
9584,GILBOA POLICE DEPARTMENT,GILBOA,OH
9585,FOLEY POLICE DEPARTMENT,FOLEY,MO
9586,HIGGINSVILLE POLICE DEPARTMENT,HIGGINSVILLE,MO
9587,NEW RICHMOND POLICE DEPARTMENT,NEW RICHMOND,WI
9588,EAGLE RIVER POLICE DEPARTMENT,EAGLE RIVER,WI
9589,TOWN OF LINN POLICE DEPARTMENT,ZENDA,WI
9590,MAYODAN POLICE DEPARTMENT,MAYODAN,NC
9591,RAINELLE POLICE DEPARTMENT,RAINELLE,WV
9592,HOWARD COUNTY SHERIFFS OFFICE  ,FAYETTE,MO
9593,SHIOCTON POLICE DEPARTMENT,SHIOCTON,WI
9594,BUTLER TOWNSHIP POLICE DEPARTMENT,DAYTON,OH
9595,AVOCA POLICE DEPARTMENT,AVOCA,WI
9596,CADOTT POLICE DEPARTMENT,CADOTT,WI
9597,FORT LEE POLICE DEPARTMENT,FORT LEE,NJ
9598,ELSBERRY POLICE DEPARTMENT,ELSBERRY,MO
9599,MOGADORE POLICE DEPARTMENT,MOGADORE,OH
9600,VILLAGE OF BARNEVELD POLICE DEPARTMENT,BARNEVELD,WI
9601,BEECH MOUNTAIN POLICE DEPARTMENT,BEECH MOUNTAIN,NC
9602,PLATTEVILLE POLICE DEPARTMENT,PLATTEVILLE,WI
9603,SAINT JOSEPH POLICE DEPARTMENT,SAINT JOSEPH,MO
9604,VAN BUREN POLICE DEPARTMENT,VAN BUREN,MO
9605,ONLEY POLICE DEPARTMENT,ONLEY,VA
9606,ADRIAN POLICE DEPARTMENT,ADRIAN,MO
9607,PILOT MOUNTAIN POLICE DEPARTMENT,PILOT MOUNTAIN,NC
9608,NIXA POLICE DEPARTMENT,NIXA,MO
9609,WINGATE POLICE DEPARTMENT,WINGATE,NC
9610,CHRISTIAN COUNTY SHERIFFS DEPARTMENT  ,OZARK,MO
9611,CITY OF HENDERSON POLICE DEPARTMENT,HENDERSON,NC
9612,CITY OF FAIR BLUFF POLICE DEPARTMENT,FAIR BLUFF,NC
9613,STANFIELD POLICE DEPARTMENT,STANFIELD,NC
9614,SALINA POLICE DEPARTMENT,SALINA,UT
9615,STEELVILLE POLICE DEPARTMENT,STEELVILLE,MO
9616,AULANDER POLICE DEPARTMENT,AULANDER,NC
9617,WASHBURN POLICE DEPARTMENT,WASHBURN,MO
9618,BLOWING ROCK POLICE DEPARTMENT,BLOWING ROCK,NC
9619,SANPETE COUNTY SHERIFFS OFFICE  ,MANTI,UT
9620,MILLVILLE POLICE DEPARTMENT,MILLVILLE,NJ
9621,STARK COUNTY SHERIFFS DEPARTMENT,DICKINSON,ND
9622,CLEARWATER COUNTY SHERIFFS DEPARTMENT  ,BAGLEY,MN
9623,HINESBURG POLICE DEPARTMENT,HINESBURG,VT
9624,DARKE COUNTY SHERIFFS OFFICE  ,GREENVILLE,OH
9625,BENNINGTON POLICE DEPARTMENT,BENNINGTON,VT
9626,MIDDLEBURY POLICE DEPARTMENT,MIDDLEBURY,VT
9627,FRANKLIN COUNTY SHERIFFS OFFICE,SAINT ALBANS,VT
9628,GREENE COUNTY SHERIFFS OFFICE,XENIA,OH
9629,DEWEY SHERIFFS OFFICE,TIMBER LAKE,SD
9630,NORWICH POLICE DEPARTMENT,NORWICH,VT
9631,PIKE COUNTY SHERIFFS OFFICE,WAVERLY,OH
9632,KILLDEER POLICE DEPARTMENT,KILLDEER,ND
9633,BLACKDUCK POLICE DEPARTMENT,BLACKDUCK,MN
9634,ISLE POLICE DEPARTMENT,ISLE,MN
9635,YOUNGSVILLE POLICE DEPARTMENT,YOUNGSVILLE,NC
9636,MARATHON COUNTY SHERIFFS DEPARTMENT  ,WAUSAU,WI
9637,ORANGE POLICE DEPARTMENT,CANAAN,NH
9638,GROVEPORT POLICE DEPARTMENT,GROVEPORT,OH
9639,SAINT CROIX COUNTY SHERIFFS DEPARTMENT,HUDSON,WI
9640,RICE COUNTY SHERIFFS DEPARTMENT  ,FARIBAULT,MN
9641,OCONTO FALLS POLICE DEPARTMENT,OCONTO FALLS,WI
9642,NEWTON POLICE DEPARTMENT,NEWTON,NJ
9643,HUBER HEIGHTS POLICE DIVISION,HUBER HEIGHTS,OH
9644,NEWTOWN VILLAGE POLICE DEPARTMENT,NEWTOWN,OH
9645,BOULDER JUNCTION POLICE DEPARTMENT,BOULDER JUNCTION,WI
9646,MARIONVILLE POLICE DEPARTMENT,MARIONVILLE,MO
9647,PARSONS CITY POLICE DEPARTMENT,PARSONS,WV
9648,FORT GAY POLICE DEPARTMENT,FORT GAY,WV
9649,WALLACE POLICE DEPARTMENT,WALLACE,NC
9650,GIBRALTAR TOWNSHIP POLICE DEPARTMENT,FISH CREEK,WI
9651,BERLIN TOWNSHIP POLICE DEPARTMENT,WEST BERLIN,NJ
9652,FELICITY POLICE DEPARTMENT,FELICITY,OH
9653,TOWN OF WHEATLAND CONSTABLE,NEW MUNSTER,WI
9654,KINGS MOUNTAIN POLICE DEPARTMENT,KINGS MOUNTAIN,NC
9655,LURAY POLICE DEPARTMENT,LURAY,VA
9656,PARSIPPANY-TROY HILLS POLICE DEPARTMENT,PARSIPPANY,NJ
9657,LIVINGSTON POLICE DEPARTMENT,LIVINGSTON,NJ
9658,FRANKLIN LAKES POLICE DEPARTMENT,FRANKLIN LAKES,NJ
9659,WINFIELD POLICE DEPARTMENT,WINFIELD PARK,NJ
9660,CITY OF ABERDEEN POLICE DEPARTMENT,ABERDEEN,NC
9661,SUMMIT POLICE DEPARTMENT,SUMMIT,NJ
9662,MONTCLAIR POLICE DEPARTMENT,MONTCLAIR,NJ
9663,TUSCARAWAS POLICE DEPARTMENT,TUSCARAWAS,OH
9664,LANCASTER POLICE DEPARTMENT,LANCASTER,OH
9665,APPLETON POLICE DEPARTMENT,APPLETON,MN
9666,HERMANTOWN POLICE DEPARTMENT,HERMANTOWN,MN
9667,TEA POLICE DEPARTMENT,TEA,SD
9668,AVON POLICE DEPARTMENT,AVON,SD
9669,HENDERSON POLICE DEPARTMENT,HENDERSON,MN
9670,TODD COUNTY SHERIFFS OFFICE  ,LONG PRAIRIE,MN
9671,CANTON POLICE DEPARTMENT,CANTON,SD
9672,DEADWOOD POLICE DEPARTMENT,DEADWOOD,SD
9673,SAINT JAMES POLICE DEPARTMENT,SAINT JAMES,MN
9674,ARLINGTON POLICE DEPARTMENT,ARLINGTON,MN
9675,CUMBERLAND POLICE DEPARTMENT,CUMBERLAND,WI
9676,VERMILLION POLICE DEPARTMENT,VERMILLION,SD
9677,BUFFALO COUNTY SHERIFFS OFFICE,GANN VALLEY,SD
9678,ISANTI POLICE DEPARTMENT,ISANTI,MN
9679,ONAMIA POLICE DEPARTMENT,ONAMIA,MN
9680,OCONTO COUNTY SHERIFFS DEPARTMENT  ,OCONTO,WI
9681,MOUND POLICE DEPARTMENT,MOUND,MN
9682,LE SUEUR POLICE DEPARTMENT,LE SUEUR,MN
9683,OSSEO POLICE DEPARTMENT,OSSEO,MN
9684,GRANTSBURG POLICE DEPARTMENT,GRANTSBURG,WI
9685,PIERZ POLICE DEPARTMENT,PIERZ,MN
9686,OCONOMOWOC POLICE DEPARTMENT,OCONOMOWOC,WI
9687,CHOCTAW POLICE DEPARTMENT,CHOCTAW,OK
9688,WONEWOC POLICE DEPARTMENT,WONEWOC,WI
9689,PERKINS COUNTY SHERIFFS OFFICE,BISON,SD
9690,HAMLIN COUNTY SHERIFFS OFFICE,HAYTI,SD
9691,KIOWA POLICE DEPARTMENT,KIOWA,OK
9692,WEST BEND POLICE DEPARTMENT,WEST BEND,WI
9693,HOT SPRINGS POLICE DEPARTMENT,HOT SPRINGS,SD
9694,WALWORTH COUNTY SHERIFF  ,SELBY,SD
9695,ALFALFA COUNTY SHERIFFS OFFICE  ,CHEROKEE,OK
9696,GRACEMONT POLICE DEPARTMENT,GRACEMONT,OK
9697,OTOE COUNTY SHERIFFS OFFICE  ,NEBRASKA CITY,NE
9698,STOUGHTON POLICE DEPARTMENT,STOUGHTON,WI
9699,WINNER POLICE DEPARTMENT,WINNER,SD
9700,ALCESTER POLICE DEPARTMENT,ALCESTER,SD
9701,COLFAX COUNTY SHERIFFS OFFICE,SCHUYLER,NE
9702,CASS COUNTY SHERIFFS OFFICE  ,PLATTSMOUTH,NE
9703,OGALLALA POLICE DEPARTMENT,OGALLALA,NE
9704,HAWORTH POLICE DEPARTMENT,HAWORTH,OK
9705,THAYER COUNTY SHERIFF OFFICE  ,HEBRON,NE
9706,PLATTSMOUTH POLICE DEPARTMENT,PLATTSMOUTH,NE
9707,HITCHCOCK COUNTY SHERIFF OFFICE  ,TRENTON,NE
9708,SHAMROCK POLICE DEPARTMENT,SHAMROCK,OK
9709,TULSA COUNTY SHERIFFS OFFICE  ,TULSA,OK
9710,SALLISAW POLICE DEPARTMENT,SALLISAW,OK
9711,GLENPOOL POLICE DEPARTMENT,GLENPOOL,OK
9712,BEGGS POLICE DEPARTMENT,BEGGS,OK
9713,FREDERICK POLICE DEPARTMENT,FREDERICK,OK
9714,WASHITA COUNTY SHERIFFS DEPARTMENT  ,CORDELL,OK
9715,BOLEY POLICE DEPARTMENT,BOLEY,OK
9716,BENNINGTON POLICE DEPARTMENT,BENNINGTON,OK
9717,HOLDENVILLE POLICE DEPARTMENT,HOLDENVILLE,OK
9718,LEEDEY POLICE DEPARTMENT,LEEDEY,OK
9719,MORRIS POLICE DEPARTMENT,MORRIS,OK
9720,COLBERT POLICE DEPARTMENT,COLBERT,OK
9721,VILLAGE OF EAST TROY POLICE DEPARTMENT,EAST TROY,WI
9722,KAW CITY POLICE DEPARTMENT,KAW CITY,OK
9723,ELMORE CITY POLICE DEPARTMENT,ELMORE CITY,OK
9724,WISTER POLICE DEPARTMENT,WISTER,OK
9725,NOWATA SHERIFF OFFICE  ,NOWATA,OK
9726,BRICE POLICE DEPARTMENT,BRICE,OH
9727,DELAWARE COUNTY SHERIFFS OFFICE,JAY,OK
9728,BIRNAMWOOD POLICE DEPARTMENT,BIRNAMWOOD,WI
9729,NINNEKAH POLICE DEPARTMENT,NINNEKAH,OK
9730,VALLIANT POLICE DEPARTMENT,VALLIANT,OK
9731,CHECOTAH POLICE DEPARTMENT,CHECOTAH,OK
9732,HAYWARD POLICE DEPARTMENT,HAYWARD,WI
